帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
639,1,6.153,-5.679,-0.819,蓝色,本帧颜色确认,0.373,蓝色,0.808
639,2,8.972,-4.695,-0.776,红色,本帧颜色确认,0.483,红色,0.672
639,3,10.346,-2.993,-0.757,小黄锥,颜色冲突，保持原色,0.486,红色,0.156
639,4,13.262,-8.819,-0.835,红色,本帧颜色确认,0.278,红色,0.672
639,5,11.967,0.933,-0.845,红色,沿用历史颜色,,,
639,6,7.935,-2.863,-0.817,红色,本帧颜色确认,0.529,红色,0.808
639,7,4.464,-3.474,-0.801,蓝色,本帧颜色确认,0.629,蓝色,0.871
639,8,14.099,-5.427,-0.715,蓝色,本帧颜色确认,0.333,蓝色,0.672
639,9,12.974,3.009,-0.772,小黄锥,本帧颜色确认,0.415,大黄锥,0.328
639,10,14.582,0.140,-0.750,小黄锥,沿用历史颜色,,,
639,11,15.260,1.823,-0.761,小黄锥,本帧颜色确认,0.429,大黄锥,0.193
639,12,14.034,2.372,-0.785,小黄锥,本帧颜色确认,0.469,大黄锥,0.328
639,13,11.200,-0.885,-0.806,小黄锥,本帧颜色确认,0.348,小黄锥,0.158
639,14,12.456,-6.207,-0.807,红色,沿用历史颜色,,,
639,15,6.897,-8.460,-0.760,蓝色,本帧颜色确认,0.272,蓝色,0.617
