帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
192,1,10.483,-4.739,-0.760,小黄锥,沿用历史颜色,,,
192,2,11.906,1.731,-0.738,蓝色,本帧颜色确认,0.253,蓝色,0.158
192,3,5.418,-5.637,-0.782,蓝色,本帧颜色确认,0.394,蓝色,0.842
192,4,9.037,-7.810,-0.774,红色,本帧颜色确认,0.202,红色,0.560
192,5,12.387,-5.340,-0.798,未知,雷达框未匹配,,,
192,6,7.695,1.873,-0.810,红色,本帧颜色确认,0.409,红色,0.842
192,7,13.471,-1.987,-0.767,小黄锥,本帧颜色确认,0.751,大黄锥,0.278
192,8,8.141,-4.491,-0.799,红色,沿用历史颜色,,,
192,9,9.625,3.624,-0.819,红色,本帧颜色确认,0.347,红色,0.722
192,10,11.607,-1.557,-0.870,未知,雷达框未匹配,,,
