帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
294,1,8.567,1.608,-0.795,红色,沿用历史颜色,,,
294,2,7.805,-5.089,-0.767,红色,本帧颜色确认,0.411,红色,0.768
294,3,10.455,1.724,-0.831,小黄锥,沿用历史颜色,,,
294,4,12.842,-3.452,-0.863,未知,雷达框未匹配,,,
294,5,10.362,-1.805,-0.738,小黄锥,本帧颜色确认,0.485,大黄锥,0.104
294,6,8.376,-1.754,-0.837,小黄锥,沿用历史颜色,,,
294,7,7.953,4.862,-0.772,蓝色,颜色冲突，已修改,0.352,蓝色,0.500
294,8,5.258,6.052,-0.813,红色,本帧颜色确认,0.690,红色,0.808
294,9,12.541,10.913,-0.911,未知,雷达框未匹配,,,
294,10,5.191,-6.177,-0.758,蓝色,本帧颜色确认,0.332,蓝色,0.871
294,11,8.705,-9.063,-0.780,红色,本帧匹配成功,0.300,红色,0.560
294,12,5.790,9.052,-0.820,未知,雷达框未匹配,,,
294,13,5.973,1.733,-0.851,蓝色,沿用历史颜色,,,
294,14,3.772,-4.050,-0.835,蓝色,本帧颜色确认,0.560,蓝色,0.896
