帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
654,1,6.626,-5.134,-0.542,大黄锥,本帧颜色确认,0.553,大黄锥,0.808
654,2,6.129,4.699,-0.784,小黄锥,本帧颜色确认,0.608,小黄锥,0.672
654,3,6.768,-5.605,-0.644,大黄锥,本帧颜色确认,0.478,大黄锥,0.842
654,4,7.953,4.468,-0.822,蓝色,沿用历史颜色,,,
654,5,9.314,-4.275,-0.389,大黄锥,本帧颜色确认,0.448,大黄锥,0.672
654,6,9.492,-4.690,-0.396,大黄锥,本帧颜色确认,0.374,大黄锥,0.768
654,7,11.000,3.420,-0.800,红色,沿用历史颜色,,,
654,8,10.612,-6.589,-0.773,红色,本帧颜色确认,0.296,红色,0.768
654,9,7.310,2.777,-0.757,蓝色,本帧颜色确认,0.504,蓝色,0.722
654,10,5.307,7.145,-0.782,小黄锥,沿用历史颜色,,,
654,11,9.087,5.881,-0.775,蓝色,本帧颜色确认,0.422,蓝色,0.617
654,12,8.922,-1.538,-0.811,红色,本帧颜色确认,0.522,红色,0.768
654,13,9.588,1.411,-0.814,红色,本帧颜色确认,0.423,红色,0.808
654,14,4.596,8.901,-0.802,小黄锥,沿用历史颜色,,,
654,15,7.156,-8.207,-0.823,蓝色,本帧颜色确认,0.270,蓝色,0.722
654,16,3.582,3.732,-0.795,小黄锥,本帧颜色确认,0.856,小黄锥,0.896
654,17,10.037,-14.738,-0.875,未知,雷达框未匹配,,,
654,18,12.778,8.021,-0.782,蓝色,沿用历史颜色,,,
