帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
179,1,8.834,1.255,-0.836,红色,本帧颜色确认,0.441,红色,0.808
179,2,8.057,5.354,-0.877,蓝色,本帧颜色确认,0.436,蓝色,0.672
179,3,5.818,-5.398,-0.644,大黄锥,本帧颜色确认,0.561,大黄锥,0.896
179,4,6.398,-6.690,-0.666,大黄锥,本帧颜色确认,0.427,大黄锥,0.842
179,5,10.271,3.372,-0.833,红色,本帧颜色确认,0.400,红色,0.722
179,6,8.178,-1.595,-0.841,红色,本帧颜色确认,0.468,红色,0.768
179,7,4.235,4.861,-0.846,小黄锥,本帧颜色确认,0.852,小黄锥,0.809
179,8,11.321,7.705,-0.906,蓝色,本帧匹配成功,0.180,蓝色,0.672
179,9,8.514,-4.097,-0.611,大黄锥,本帧颜色确认,0.465,大黄锥,0.916
179,10,9.153,-5.544,-0.537,大黄锥,本帧颜色确认,0.362,大黄锥,0.808
179,11,6.183,2.510,-0.866,蓝色,本帧颜色确认,0.609,蓝色,0.768
179,12,4.022,-3.184,-0.830,蓝色,本帧匹配成功,0.443,蓝色,0.871
179,13,12.628,5.060,-0.867,红色,本帧匹配成功,0.355,红色,0.560
