帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
298,1,6.051,4.883,-0.646,大黄锥,本帧颜色确认,0.470,大黄锥,0.808
298,2,8.485,-2.305,-0.798,蓝色,本帧颜色确认,0.242,蓝色,0.560
298,3,8.667,3.469,-0.609,大黄锥,本帧颜色确认,0.420,大黄锥,0.617
298,4,9.384,4.741,-0.627,大黄锥,本帧颜色确认,0.345,大黄锥,0.367
298,5,7.580,-6.536,-0.760,红色,本帧颜色确认,0.187,红色,0.768
298,6,9.818,-4.603,-0.795,蓝色,沿用历史颜色,,,
298,7,10.590,-8.834,-0.771,红色,本帧颜色确认,0.165,红色,0.560
298,8,11.346,6.795,-0.838,未知,雷达框未匹配,,,
298,9,3.387,-5.082,-0.840,小黄锥,沿用历史颜色,,,
298,10,6.776,6.191,-0.672,大黄锥,本帧颜色确认,0.458,大黄锥,0.328
298,11,4.209,3.074,-0.888,红色,沿用历史颜色,,,
298,12,7.981,0.697,-0.806,蓝色,本帧颜色确认,0.349,蓝色,0.500
298,13,11.971,-6.367,-0.716,蓝色,沿用历史颜色,,,
298,14,7.358,8.546,-0.863,红色,本帧颜色确认,0.179,红色,0.672
298,15,5.733,-3.566,-0.855,红色,本帧颜色确认,0.335,红色,0.808
