帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
8,1,8.773,-5.447,-0.871,蓝色,沿用历史颜色,,,
8,2,9.783,-1.493,-0.820,红色,本帧颜色确认,0.481,红色,0.722
8,3,11.470,-4.454,-0.855,红色,本帧颜色确认,0.329,红色,0.672
8,4,9.887,2.448,-0.847,蓝色,本帧颜色确认,0.385,蓝色,0.278
8,5,12.181,-1.147,-0.865,小黄锥,本帧颜色确认,0.588,大黄锥,0.500
8,6,12.142,-8.475,-0.949,红色,本帧颜色确认,0.363,红色,0.441
8,7,7.462,-3.219,-0.862,蓝色,本帧颜色确认,0.387,蓝色,0.768
8,8,9.232,-8.343,-0.946,蓝色,本帧匹配成功,0.314,蓝色,0.672
8,9,14.371,2.287,-0.786,小黄锥,本帧匹配成功,0.494,大黄锥,0.104
8,10,9.301,6.796,-0.693,红色,本帧匹配成功,0.636,红色,0.722
8,11,14.114,-1.252,-0.723,未知,雷达框未匹配,,,
8,12,7.812,4.635,-0.737,红色,本帧颜色确认,0.613,红色,0.808
8,13,16.523,-3.012,-0.925,未知,雷达框未匹配,,,
8,14,12.018,5.542,-0.777,未知,雷达框未匹配,,,
8,15,5.378,-1.486,-0.855,蓝色,本帧匹配成功,0.484,蓝色,0.617
