帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
97,1,7.280,5.965,-0.781,红色,本帧颜色确认,0.397,红色,0.768
97,2,8.906,-3.708,-0.724,蓝色,本帧颜色确认,0.362,蓝色,0.672
97,3,8.763,4.023,-0.761,红色,本帧颜色确认,0.483,红色,0.768
97,4,7.604,-6.131,-0.741,蓝色,本帧颜色确认,0.358,蓝色,0.768
97,5,11.109,-1.819,-0.741,蓝色,本帧颜色确认,0.238,蓝色,0.560
97,6,14.137,-0.825,-0.192,未知,雷达框未匹配,,,
97,7,11.415,2.478,-0.806,红色,沿用历史颜色,,,
97,8,4.586,1.713,-0.822,小黄锥,本帧颜色确认,0.497,大黄锥,0.617
97,9,4.762,-5.311,-0.778,红色,本帧颜色确认,0.454,红色,0.842
97,10,4.740,-1.030,-0.746,小黄锥,本帧颜色确认,0.612,大黄锥,0.672
