帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
349,1,9.464,6.368,-0.482,大黄锥,本帧颜色确认,0.455,大黄锥,0.617
349,2,6.143,5.925,-0.683,大黄锥,本帧颜色确认,0.615,大黄锥,0.808
349,3,9.004,4.983,-0.488,大黄锥,本帧颜色确认,0.484,大黄锥,0.278
349,4,11.452,-2.734,-0.815,蓝色,颜色冲突，已修改,0.230,蓝色,0.193
349,5,9.555,-5.017,-0.789,红色,本帧颜色确认,0.464,红色,0.722
349,6,7.266,-2.424,-0.783,红色,本帧颜色确认,0.513,红色,0.808
349,7,9.760,-0.704,-0.775,蓝色,本帧颜色确认,0.359,蓝色,0.193
349,8,4.651,-5.977,-0.806,小黄锥,沿用历史颜色,,,
349,9,12.984,-6.756,-0.811,未知,雷达框未匹配,,,
349,10,4.061,-7.371,-0.802,未知,雷达框未匹配,,,
349,11,13.883,-4.111,-0.746,未知,雷达框未匹配,,,
349,12,3.027,-3.564,-0.844,小黄锥,本帧颜色确认,0.729,小黄锥,0.808
349,13,2.451,-5.314,-0.794,红色,沿用历史颜色,,,
349,14,8.741,2.175,-0.719,蓝色,本帧颜色确认,0.407,蓝色,0.672
349,15,5.198,-4.281,-0.811,小黄锥,本帧匹配成功,0.425,小黄锥,0.768
