帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
325,1,9.722,-0.321,-0.784,红色,本帧颜色确认,0.507,红色,0.722
325,2,11.458,0.900,-0.820,红色,本帧颜色确认,0.385,红色,0.560
325,3,8.598,-3.919,-0.796,未知,雷达框未匹配,,,
325,4,9.550,-5.454,-0.820,蓝色,沿用历史颜色,,,
325,5,11.548,-1.523,-0.778,小黄锥,沿用历史颜色,,,
325,6,6.894,-7.272,-0.778,红色,本帧颜色确认,0.276,红色,0.768
325,7,10.485,4.269,-0.792,蓝色,沿用历史颜色,,,
325,8,13.329,-4.890,-0.817,未知,雷达框未匹配,,,
325,9,8.441,2.374,-0.820,蓝色,沿用历史颜色,,,
325,10,10.012,-7.186,-0.831,蓝色,本帧颜色确认,0.231,蓝色,0.500
325,11,10.834,-4.116,-0.818,未知,雷达框未匹配,,,
325,12,6.130,-4.961,-0.787,红色,本帧颜色确认,0.387,红色,0.871
325,13,4.138,-2.627,-0.820,红色,本帧颜色确认,0.460,红色,0.896
