帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
321,1,8.568,-3.917,-0.778,未知,雷达框未匹配,,,
321,2,9.725,-0.311,-0.796,红色,本帧颜色确认,0.493,红色,0.722
321,3,11.456,0.897,-0.801,红色,本帧颜色确认,0.444,红色,0.560
321,4,11.569,-1.515,-0.799,小黄锥,本帧匹配成功,0.286,小黄锥,0.104
321,5,10.488,4.253,-0.783,蓝色,本帧颜色确认,0.340,蓝色,0.193
321,6,10.832,-4.120,-0.809,未知,雷达框未匹配,,,
321,7,9.562,-5.465,-0.770,蓝色,本帧颜色确认,0.234,蓝色,0.560
321,8,6.120,-4.956,-0.779,红色,本帧颜色确认,0.329,红色,0.871
321,9,13.337,-4.890,-0.800,未知,雷达框未匹配,,,
321,10,6.905,-7.282,-0.812,红色,本帧颜色确认,0.279,红色,0.768
321,11,8.433,2.411,-0.766,蓝色,本帧匹配成功,0.286,蓝色,0.768
321,12,10.027,-7.181,-0.765,蓝色,本帧颜色确认,0.169,蓝色,0.441
321,13,4.134,-2.622,-0.826,红色,本帧颜色确认,0.445,红色,0.896
