帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
958,1,9.266,-3.937,-0.798,小黄锥,本帧颜色确认,0.377,小黄锥,0.560
958,2,9.236,-5.931,-0.821,小黄锥,本帧颜色确认,0.298,小黄锥,0.500
958,3,10.126,0.380,-0.767,红色,本帧颜色确认,0.351,红色,0.617
958,4,6.438,-7.851,-0.782,小黄锥,本帧匹配成功,0.322,小黄锥,0.328
958,5,11.721,-0.985,-0.823,红色,本帧颜色确认,0.197,红色,0.617
958,6,12.427,2.255,-0.813,红色,沿用历史颜色,,,
958,7,6.615,5.302,-0.868,红色,沿用历史颜色,,,
958,8,7.784,-7.956,-0.715,小黄锥,本帧颜色确认,0.187,小黄锥,0.722
958,9,8.989,-8.181,-0.841,小黄锥,本帧颜色确认,0.135,小黄锥,0.500
958,10,6.504,-4.115,-0.853,小黄锥,本帧颜色确认,0.254,小黄锥,0.768
958,11,7.304,7.943,-0.691,大黄锥,本帧颜色确认,0.511,大黄锥,0.871
958,12,9.372,-1.662,-0.837,小黄锥,本帧颜色确认,0.251,小黄锥,0.129
958,13,10.849,4.616,-0.813,蓝色,本帧颜色确认,0.224,蓝色,0.672
958,14,7.323,8.412,-0.672,大黄锥,本帧颜色确认,0.689,大黄锥,0.808
958,15,13.650,-2.016,-0.794,红色,本帧匹配成功,0.143,红色,0.328
958,16,6.763,-1.570,-0.878,小黄锥,本帧颜色确认,0.295,小黄锥,0.560
958,17,6.500,-6.012,-0.838,小黄锥,本帧颜色确认,0.284,小黄锥,0.722
958,18,6.394,0.647,-0.821,蓝色,本帧颜色确认,0.426,蓝色,0.193
958,19,5.098,-0.652,-0.903,未知,雷达框未匹配,,,
958,20,4.765,2.828,-0.847,红色,本帧颜色确认,0.493,红色,0.842
958,21,10.161,8.177,-0.520,大黄锥,本帧匹配成功,0.435,大黄锥,0.672
