帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
334,1,9.028,-3.684,-0.748,红色,本帧颜色确认,0.571,红色,0.617
334,2,8.109,-2.253,-0.785,红色,沿用历史颜色,,,
334,3,8.215,1.376,-0.806,蓝色,沿用历史颜色,,,
334,4,10.004,-2.031,-0.779,小黄锥,本帧颜色确认,0.460,大黄锥,0.158
334,5,9.486,2.805,-0.761,蓝色,沿用历史颜色,,,
334,6,9.699,-5.348,-0.756,红色,本帧颜色确认,0.531,红色,0.672
334,7,6.933,-6.372,-0.781,蓝色,本帧颜色确认,0.355,蓝色,0.768
334,8,7.889,5.796,-0.749,红色,本帧颜色确认,0.559,红色,0.808
334,9,10.521,4.458,-0.688,蓝色,本帧颜色确认,0.543,蓝色,0.560
334,10,10.344,0.750,-0.785,小黄锥,沿用历史颜色,,,
334,11,11.490,0.641,-0.751,小黄锥,沿用历史颜色,,,
334,12,10.400,-9.416,-0.786,红色,本帧颜色确认,0.264,红色,0.560
334,13,11.645,8.992,-0.694,蓝色,沿用历史颜色,,,
334,14,5.559,-3.922,-0.856,蓝色,沿用历史颜色,,,
334,15,11.608,-2.177,-0.778,小黄锥,沿用历史颜色,,,
