帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
643,1,8.457,-5.592,-0.601,大黄锥,本帧颜色确认,0.543,大黄锥,0.808
643,2,11.175,-4.722,-0.521,大黄锥,本帧颜色确认,0.633,大黄锥,0.722
643,3,8.324,-5.135,-0.560,大黄锥,本帧颜色确认,0.597,大黄锥,0.722
643,4,9.722,4.483,-0.784,蓝色,本帧颜色确认,0.493,蓝色,0.808
643,5,7.871,4.731,-0.762,小黄锥,本帧颜色确认,0.501,小黄锥,0.560
643,6,11.359,1.410,-0.797,红色,本帧颜色确认,0.417,红色,0.722
643,7,12.775,3.420,-0.793,红色,本帧颜色确认,0.257,红色,0.672
643,8,10.856,5.911,-0.802,蓝色,本帧颜色确认,0.227,蓝色,0.560
643,9,8.841,-8.250,-0.786,蓝色,本帧颜色确认,0.344,蓝色,0.500
643,10,9.048,2.782,-0.798,蓝色,本帧颜色确认,0.491,蓝色,0.278
643,11,11.020,-4.296,-0.264,大黄锥,沿用历史颜色,,,
643,12,6.452,-2.594,-0.848,蓝色,沿用历史颜色,,,
643,13,7.050,7.168,-0.830,小黄锥,本帧颜色确认,0.409,小黄锥,0.722
643,14,10.635,-1.544,-0.821,红色,本帧颜色确认,0.387,红色,0.672
643,15,3.465,2.247,-0.793,红色,本帧颜色确认,0.693,红色,0.896
643,16,6.306,8.940,-0.801,小黄锥,沿用历史颜色,,,
643,17,5.352,3.768,-0.847,小黄锥,沿用历史颜色,,,
643,18,7.863,2.269,-0.950,未知,雷达框未匹配,,,
643,19,4.579,5.899,-0.816,小黄锥,沿用历史颜色,,,
643,20,12.310,-6.623,-0.832,红色,沿用历史颜色,,,
643,21,4.047,-1.071,-0.784,蓝色,本帧匹配成功,0.562,蓝色,0.896
