帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
623,1,5.675,-0.357,-0.689,大黄锥,本帧颜色确认,0.443,大黄锥,0.871
623,2,7.964,-1.750,-0.841,红色,本帧颜色确认,0.264,红色,0.768
623,3,5.790,-4.846,-0.866,蓝色,本帧颜色确认,0.271,蓝色,0.808
623,4,3.793,-2.426,-0.702,大黄锥,沿用历史颜色,,,
623,5,4.031,1.809,-0.821,红色,本帧颜色确认,0.419,红色,0.871
623,6,10.773,-2.261,-0.795,红色,本帧颜色确认,0.092,红色,0.617
623,7,4.126,-2.787,-0.740,大黄锥,本帧颜色确认,0.772,大黄锥,0.882
623,8,11.496,-9.065,-0.793,小黄锥,沿用历史颜色,,,
623,9,11.969,-5.220,-0.831,蓝色,沿用历史颜色,,,
623,10,6.756,-7.998,-0.844,蓝色,本帧颜色确认,0.089,蓝色,0.672
623,11,6.022,-0.677,-0.710,大黄锥,颜色冲突，保持原色,0.302,大黄锥,0.896
623,12,3.210,4.713,-0.844,红色,沿用历史颜色,,,
623,13,13.843,-4.815,-0.837,蓝色,沿用历史颜色,,,
623,14,9.817,-8.131,-0.791,红色,沿用历史颜色,,,
623,15,14.279,-1.456,-0.801,未知,雷达框未匹配,,,
623,16,13.362,-7.001,-0.826,未知,雷达框未匹配,,,
623,17,7.514,-15.298,-0.910,未知,雷达框未匹配,,,
623,18,14.284,-7.742,-0.808,未知,雷达框未匹配,,,
623,19,9.751,-9.859,-0.831,红色,沿用历史颜色,,,
