帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
14,1,4.380,-1.322,-0.643,大黄锥,本帧颜色确认,0.636,大黄锥,0.933
14,2,5.554,-1.352,-0.629,大黄锥,本帧颜色确认,0.617,大黄锥,0.916
14,3,4.597,1.496,-0.651,大黄锥,本帧颜色确认,0.751,大黄锥,0.946
14,4,8.345,2.330,-0.778,蓝色,本帧颜色确认,0.443,蓝色,0.278
14,5,5.639,1.460,-0.597,大黄锥,本帧颜色确认,0.705,大黄锥,0.916
14,6,10.410,-3.694,-0.797,红色,本帧颜色确认,0.506,红色,0.722
14,7,7.506,-16.139,-0.850,未知,雷达框未匹配,,,
14,8,10.713,4.051,-0.736,蓝色,本帧颜色确认,0.350,蓝色,0.500
14,9,14.807,-4.822,-0.843,蓝色,本帧匹配成功,0.479,蓝色,0.104
14,10,15.003,5.373,-0.767,红色,本帧匹配成功,0.468,红色,0.383
14,11,12.524,-1.993,-0.804,蓝色,本帧匹配成功,0.233,蓝色,0.158
