帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
125,1,10.974,-1.858,-0.796,红色,本帧颜色确认,0.303,红色,0.560
125,2,9.253,-4.988,-0.803,蓝色,本帧颜色确认,0.341,蓝色,0.560
125,3,11.913,-3.412,-0.806,红色,本帧颜色确认,0.427,红色,0.500
125,4,11.610,2.711,-0.738,小黄锥,沿用历史颜色,,,
125,5,9.865,-0.587,-0.714,红色,本帧颜色确认,0.450,红色,0.617
125,6,9.394,3.020,-0.805,蓝色,沿用历史颜色,,,
125,7,11.723,-0.101,-0.770,小黄锥,沿用历史颜色,,,
125,8,12.764,2.788,-0.784,小黄锥,沿用历史颜色,,,
125,9,13.250,-7.319,-0.819,红色,本帧颜色确认,0.243,红色,0.233
125,10,7.588,-2.658,-0.809,蓝色,本帧颜色确认,0.487,蓝色,0.672
125,11,11.228,6.407,-0.743,蓝色,沿用历史颜色,,,
125,12,10.408,4.638,-0.735,蓝色,本帧匹配成功,0.280,蓝色,0.233
125,13,8.375,7.326,-0.736,红色,本帧颜色确认,0.523,红色,0.808
125,14,6.502,4.341,-0.789,红色,本帧颜色确认,0.500,红色,0.768
