帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
791,1,6.105,5.970,-0.828,红色,本帧颜色确认,0.609,红色,0.842
791,2,2.862,-4.732,-0.816,小黄锥,沿用历史颜色,,,
791,3,8.759,4.814,-0.798,蓝色,本帧颜色确认,0.612,蓝色,0.500
791,4,9.766,9.567,-0.815,蓝色,本帧颜色确认,0.353,蓝色,0.500
791,5,4.039,3.337,-0.845,红色,本帧颜色确认,0.661,红色,0.896
791,6,16.138,-2.249,-1.017,未知,雷达框未匹配,,,
791,7,4.386,-0.066,-0.842,蓝色,本帧颜色确认,0.658,蓝色,0.842
791,8,5.401,-2.848,-0.797,小黄锥,本帧颜色确认,0.384,小黄锥,0.104
791,9,4.295,-2.331,-0.831,小黄锥,本帧颜色确认,0.367,大黄锥,0.808
791,10,4.375,-5.564,-0.826,小黄锥,本帧颜色确认,0.565,小黄锥,0.500
791,11,6.014,1.055,-0.833,蓝色,沿用历史颜色,,,
