帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
133,1,7.280,5.958,-0.800,红色,沿用历史颜色,,,
133,2,7.618,-6.117,-0.754,蓝色,本帧颜色确认,0.303,蓝色,0.768
133,3,8.915,-3.705,-0.762,蓝色,沿用历史颜色,,,
133,4,8.756,4.028,-0.763,红色,本帧颜色确认,0.435,红色,0.768
133,5,14.123,-0.817,-0.175,未知,雷达框未匹配,,,
133,6,11.129,-1.833,-0.726,蓝色,本帧颜色确认,0.281,蓝色,0.617
133,7,4.747,-5.324,-0.822,红色,本帧颜色确认,0.432,红色,0.842
133,8,4.725,-1.024,-0.796,小黄锥,本帧颜色确认,0.576,大黄锥,0.560
133,9,6.846,-1.550,-0.848,未知,雷达框未匹配,,,
133,10,11.411,2.478,-0.898,红色,沿用历史颜色,,,
133,11,5.576,-3.277,-0.826,未知,雷达框未匹配,,,
