帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
116,1,9.513,1.401,-0.571,大黄锥,本帧颜色确认,0.376,大黄锥,0.871
116,2,9.807,-1.379,-0.577,大黄锥,本帧颜色确认,0.262,大黄锥,0.808
116,3,4.022,-4.103,-0.868,蓝色,本帧颜色确认,0.648,蓝色,0.896
116,4,9.941,1.317,-0.702,大黄锥,沿用历史颜色,,,
116,5,9.733,-16.753,-1.000,未知,雷达框未匹配,,,
116,6,12.502,-2.061,-0.931,小黄锥,沿用历史颜色,,,
116,7,4.266,3.616,-0.859,红色,本帧颜色确认,0.440,红色,0.871
116,8,6.366,-2.334,-0.842,蓝色,本帧颜色确认,0.459,蓝色,0.768
116,9,14.618,3.217,-0.848,红色,本帧颜色确认,0.107,红色,0.233
116,10,12.603,-16.253,-0.871,未知,雷达框未匹配,,,
