帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
185,1,8.754,4.021,-0.759,红色,本帧颜色确认,0.466,红色,0.768
185,2,7.275,5.944,-0.795,红色,本帧颜色确认,0.440,红色,0.768
185,3,7.602,-6.117,-0.750,蓝色,本帧颜色确认,0.310,蓝色,0.722
185,4,11.117,-1.832,-0.722,蓝色,本帧颜色确认,0.286,蓝色,0.617
185,5,8.907,-3.703,-0.773,蓝色,沿用历史颜色,,,
185,6,14.113,-0.826,-0.191,未知,雷达框未匹配,,,
185,7,4.755,-5.308,-0.795,红色,本帧颜色确认,0.391,红色,0.842
185,8,5.575,-3.285,-0.831,未知,雷达框未匹配,,,
185,9,11.421,2.483,-0.798,红色,沿用历史颜色,,,
185,10,4.583,1.656,-0.804,小黄锥,本帧颜色确认,0.758,大黄锥,0.560
