帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
165,1,6.398,4.608,-0.775,小黄锥,本帧颜色确认,0.432,小黄锥,0.722
165,2,10.924,-7.047,-0.589,大黄锥,本帧颜色确认,0.388,大黄锥,0.768
165,3,11.166,2.257,-0.797,蓝色,沿用历史颜色,,,
165,4,10.839,-6.585,-0.500,大黄锥,本帧颜色确认,0.342,大黄锥,0.722
165,5,6.090,6.555,-0.763,小黄锥,本帧颜色确认,0.474,小黄锥,0.617
165,6,9.395,2.831,-0.800,小黄锥,本帧颜色确认,0.229,小黄锥,0.104
165,7,8.031,-6.941,-0.627,大黄锥,本帧颜色确认,0.447,大黄锥,0.617
165,8,8.087,-7.399,-0.669,大黄锥,本帧颜色确认,0.314,大黄锥,0.808
165,9,8.700,7.253,-0.764,小黄锥,本帧颜色确认,0.229,小黄锥,0.617
165,10,10.205,0.703,-0.809,未知,雷达框未匹配,,,
165,11,6.655,-4.066,-0.799,蓝色,本帧颜色确认,0.302,蓝色,0.722
165,12,8.425,9.049,-0.807,小黄锥,沿用历史颜色,,,
165,13,12.217,-1.066,-0.731,红色,本帧颜色确认,0.216,红色,0.722
165,14,6.776,2.369,-0.832,小黄锥,沿用历史颜色,,,
165,15,14.000,0.640,-0.773,红色,本帧颜色确认,0.108,红色,0.617
165,16,12.578,3.430,-0.822,蓝色,本帧颜色确认,0.127,蓝色,0.560
165,17,4.613,1.239,-0.814,红色,本帧匹配成功,0.419,红色,0.871
165,18,5.864,8.822,-0.736,小黄锥,沿用历史颜色,,,
165,19,9.067,5.378,-0.797,小黄锥,沿用历史颜色,,,
