帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
15,1,12.304,0.375,-0.188,未知,雷达框未匹配,,,
15,2,13.599,-2.694,-0.187,未知,雷达框未匹配,,,
15,3,9.920,1.254,-0.776,红色,本帧颜色确认,0.269,红色,0.722
15,4,6.867,-4.923,-0.751,蓝色,本帧颜色确认,0.347,蓝色,0.768
15,5,7.715,3.173,-0.788,红色,本帧颜色确认,0.343,红色,0.808
15,6,6.503,5.411,-0.808,红色,沿用历史颜色,,,
15,7,13.831,0.173,-0.197,未知,雷达框未匹配,,,
15,8,12.115,-2.620,-0.209,大黄锥,沿用历史颜色,,,
15,9,9.378,-3.174,-0.697,蓝色,沿用历史颜色,,,
15,10,5.360,-7.078,-0.773,未知,雷达框未匹配,,,
15,11,2.688,-5.921,-0.830,未知,雷达框未匹配,,,
