帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
203,1,4.392,-1.334,-0.646,大黄锥,本帧颜色确认,0.551,大黄锥,0.946
203,2,4.506,1.614,-0.629,大黄锥,本帧颜色确认,0.666,大黄锥,0.946
203,3,13.592,-4.936,-0.736,红色,本帧颜色确认,0.164,红色,0.500
203,4,3.503,1.590,-0.629,大黄锥,本帧颜色确认,0.698,大黄锥,0.938
203,5,11.814,-1.998,-0.702,红色,本帧颜色确认,0.404,红色,0.383
203,6,3.485,-1.314,-0.473,大黄锥,本帧颜色确认,0.560,大黄锥,0.884
203,7,9.622,4.004,-0.756,红色,本帧颜色确认,0.246,红色,0.722
203,8,7.008,2.177,-0.795,红色,沿用历史颜色,,,
203,9,11.552,-8.925,-0.758,蓝色,沿用历史颜色,,,
203,10,7.402,-2.128,-0.799,蓝色,沿用历史颜色,,,
203,11,9.516,-3.860,-0.728,蓝色,沿用历史颜色,,,
203,12,14.188,-1.609,-0.725,小黄锥,本帧颜色确认,0.274,大黄锥,0.278
203,13,13.738,5.021,-0.750,未知,雷达框未匹配,,,
203,14,10.941,-6.043,-0.761,未知,雷达框未匹配,,,
