帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
152,1,4.674,2.064,-0.642,大黄锥,本帧颜色确认,0.643,大黄锥,0.946
152,2,10.124,-2.321,-0.778,红色,本帧匹配成功,0.497,红色,0.193
152,3,7.229,3.307,-0.828,蓝色,沿用历史颜色,,,
152,4,5.010,-0.769,-0.646,大黄锥,本帧颜色确认,0.663,大黄锥,0.933
152,5,7.393,-0.990,-0.833,未知,雷达框未匹配,,,
152,6,11.557,3.408,-0.790,红色,本帧匹配成功,0.415,红色,0.722
152,7,11.809,-4.127,-0.773,红色,本帧颜色确认,0.322,红色,0.722
152,8,9.274,5.356,-0.813,蓝色,沿用历史颜色,,,
152,9,13.467,-1.371,-0.816,蓝色,本帧匹配成功,0.336,蓝色,0.328
152,10,3.868,-0.908,-0.588,大黄锥,本帧颜色确认,0.661,大黄锥,0.916
152,11,3.622,1.943,-0.660,大黄锥,本帧颜色确认,0.748,大黄锥,0.911
152,12,14.666,-2.773,-0.828,蓝色,本帧匹配成功,0.267,蓝色,0.193
152,13,13.317,7.328,-0.748,红色,本帧匹配成功,0.332,红色,0.158
