帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
684,1,5.804,5.935,-0.761,红色,沿用历史颜色,,,
684,2,8.451,4.733,-0.781,蓝色,沿用历史颜色,,,
684,3,2.568,-4.737,-0.819,小黄锥,沿用历史颜色,,,
684,4,3.941,-5.477,-0.834,小黄锥,沿用历史颜色,,,
684,5,3.758,3.311,-0.796,红色,本帧颜色确认,0.723,红色,0.896
684,6,4.039,-0.085,-0.748,蓝色,本帧颜色确认,0.593,蓝色,0.871
684,7,6.528,9.323,-0.728,未知,雷达框未匹配,,,
684,8,9.527,9.460,-0.715,蓝色,沿用历史颜色,,,
684,9,15.728,-2.346,-0.955,未知,雷达框未匹配,,,
684,10,16.037,-1.154,-1.071,未知,雷达框未匹配,,,
684,11,3.991,-2.347,-0.807,小黄锥,本帧颜色确认,0.452,小黄锥,0.233
