帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
7,1,10.702,3.898,-0.299,大黄锥,沿用历史颜色,,,
7,2,12.824,1.360,-0.266,未知,雷达框未匹配,,,
7,3,11.390,0.995,-0.289,未知,雷达框未匹配,,,
7,4,7.000,-2.677,-0.794,蓝色,本帧颜色确认,0.280,蓝色,0.808
7,5,12.209,4.182,-0.362,未知,雷达框未匹配,,,
7,6,6.171,-5.222,-0.780,蓝色,本帧颜色确认,0.427,蓝色,0.768
7,7,8.864,-0.301,-0.780,蓝色,本帧颜色确认,0.413,蓝色,0.768
7,8,3.724,2.925,-0.822,蓝色,本帧颜色确认,0.487,蓝色,0.896
7,9,3.192,-4.821,-0.867,未知,雷达框未匹配,,,
7,10,8.134,4.091,-0.807,红色,本帧颜色确认,0.340,红色,0.808
7,11,5.538,5.302,-0.810,红色,本帧颜色确认,0.497,红色,0.871
