帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
99,1,11.122,-1.835,-0.771,蓝色,沿用历史颜色,,,
99,2,8.759,4.021,-0.784,红色,本帧颜色确认,0.404,红色,0.768
99,3,7.293,5.964,-0.770,红色,本帧颜色确认,0.431,红色,0.768
99,4,7.594,-6.133,-0.740,蓝色,本帧颜色确认,0.416,蓝色,0.768
99,5,8.900,-3.692,-0.771,蓝色,沿用历史颜色,,,
99,6,14.129,-0.819,-0.186,未知,雷达框未匹配,,,
99,7,11.418,2.468,-0.827,红色,沿用历史颜色,,,
99,8,4.736,-1.032,-0.746,小黄锥,本帧颜色确认,0.678,大黄锥,0.617
99,9,6.829,-1.558,-0.854,未知,雷达框未匹配,,,
99,10,4.748,-5.309,-0.810,红色,本帧颜色确认,0.438,红色,0.842
99,11,4.596,1.707,-0.822,小黄锥,本帧颜色确认,0.525,大黄锥,0.617
