帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
367,1,10.163,-2.265,-0.797,小黄锥,本帧颜色确认,0.409,小黄锥,0.158
367,2,7.753,-2.252,-0.803,红色,本帧颜色确认,0.608,红色,0.808
367,3,6.144,-5.123,-0.770,蓝色,本帧颜色确认,0.351,蓝色,0.768
367,4,10.944,-0.122,-0.812,红色,本帧颜色确认,0.473,红色,0.129
367,5,8.860,-3.998,-0.812,红色,本帧颜色确认,0.410,红色,0.722
367,6,14.029,-4.492,-0.794,蓝色,本帧颜色确认,0.333,蓝色,0.617
367,7,7.036,-7.875,-0.754,蓝色,本帧匹配成功,0.183,蓝色,0.768
367,8,11.618,1.710,-0.807,小黄锥,本帧颜色确认,0.533,大黄锥,0.193
367,9,13.394,-7.947,-0.767,红色,本帧颜色确认,0.307,红色,0.672
367,10,12.533,3.814,-0.723,小黄锥,本帧颜色确认,0.750,大黄锥,0.104
367,11,12.452,-5.377,-0.828,蓝色,沿用历史颜色,,,
367,12,14.864,2.772,-0.828,小黄锥,本帧颜色确认,0.259,大黄锥,0.328
367,13,4.388,-3.020,-0.820,蓝色,本帧颜色确认,0.445,蓝色,0.896
367,14,13.594,3.265,-0.720,小黄锥,本帧匹配成功,0.591,大黄锥,0.139
367,15,15.855,-4.178,-0.829,未知,雷达框未匹配,,,
