帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
104,1,9.169,-2.225,-0.829,红色,沿用历史颜色,,,
104,2,6.511,-5.815,-0.422,大黄锥,本帧颜色确认,0.393,大黄锥,0.916
104,3,3.569,3.714,-0.824,小黄锥,本帧颜色确认,0.726,小黄锥,0.842
104,4,10.040,0.557,-0.756,红色,沿用历史颜色,,,
104,5,9.271,-4.774,-0.213,大黄锥,沿用历史颜色,,,
104,6,5.723,4.519,-0.824,小黄锥,本帧颜色确认,0.576,小黄锥,0.722
104,7,7.424,2.036,-0.834,蓝色,沿用历史颜色,,,
104,8,4.623,7.603,-0.802,小黄锥,沿用历史颜色,,,
104,9,9.783,-6.219,-0.227,大黄锥,沿用历史颜色,,,
104,10,9.618,4.709,-0.767,蓝色,本帧颜色确认,0.475,蓝色,0.672
104,11,6.987,-7.167,-0.483,大黄锥,本帧颜色确认,0.327,大黄锥,0.871
104,12,5.091,6.256,-0.786,小黄锥,沿用历史颜色,,,
104,13,11.664,2.547,-0.736,红色,本帧颜色确认,0.379,红色,0.560
104,14,11.183,-8.201,-0.757,红色,本帧颜色确认,0.214,红色,0.441
