帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
171,1,11.662,0.854,-0.217,未知,雷达框未匹配,,,
171,2,8.433,-2.742,-0.788,蓝色,本帧颜色确认,0.419,蓝色,0.808
171,3,5.955,-4.522,-0.786,蓝色,本帧颜色确认,0.446,蓝色,0.768
171,4,11.499,-2.111,-0.262,未知,雷达框未匹配,,,
171,5,8.967,1.663,-0.804,红色,本帧颜色确认,0.392,红色,0.768
171,6,6.754,3.618,-0.802,红色,本帧颜色确认,0.358,红色,0.808
171,7,4.465,-6.739,-0.792,未知,雷达框未匹配,,,
171,8,5.500,5.830,-0.781,红色,本帧颜色确认,0.410,红色,0.842
171,9,12.634,0.715,-0.368,未知,雷达框未匹配,,,
171,10,12.335,-2.106,-0.362,未知,雷达框未匹配,,,
171,11,5.117,8.696,-0.783,未知,雷达框未匹配,,,
