帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
257,1,7.109,6.069,-0.959,蓝色,本帧颜色确认,0.275,蓝色,0.233
257,2,10.280,2.280,-0.920,未知,雷达框未匹配,,,
257,3,12.445,4.235,-0.946,未知,雷达框未匹配,,,
257,4,10.691,8.827,-0.688,未知,雷达框未匹配,,,
257,5,7.759,-3.078,-0.858,未知,雷达框未匹配,,,
257,6,7.311,-1.889,-0.870,未知,雷达框未匹配,,,
257,7,10.012,-2.051,-0.872,未知,雷达框未匹配,,,
257,8,13.311,-0.160,-0.898,未知,雷达框未匹配,,,
257,9,14.661,2.533,-0.938,未知,雷达框未匹配,,,
257,10,11.128,6.312,-0.985,未知,雷达框未匹配,,,
257,11,10.675,9.404,-0.742,未知,雷达框未匹配,,,
257,12,16.997,-4.954,-0.950,未知,雷达框未匹配,,,
257,13,17.475,1.635,-1.004,未知,雷达框未匹配,,,
257,14,5.530,0.131,-0.884,未知,雷达框未匹配,,,
257,15,5.344,3.502,-0.919,蓝色,沿用历史颜色,,,
