帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
394,1,7.154,-5.377,-0.735,蓝色,本帧颜色确认,0.197,蓝色,0.768
394,2,10.859,-8.197,-0.706,红色,沿用历史颜色,,,
394,3,9.819,-4.017,-0.776,红色,本帧颜色确认,0.107,红色,0.722
394,4,7.594,-0.965,-0.775,红色,本帧颜色确认,0.382,红色,0.808
394,5,7.849,-8.045,-0.761,蓝色,本帧颜色确认,0.156,蓝色,0.722
394,6,10.599,-6.102,-0.780,红色,沿用历史颜色,,,
394,7,12.779,-7.146,-0.679,红色,沿用历史颜色,,,
394,8,14.426,-5.541,-0.876,红色,沿用历史颜色,,,
394,9,5.503,-3.173,-0.793,蓝色,本帧颜色确认,0.474,蓝色,0.842
394,10,15.761,-4.103,-0.737,未知,雷达框未匹配,,,
