帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
11,1,9.960,-2.582,-0.791,蓝色,本帧颜色确认,0.625,蓝色,0.328
11,2,6.779,3.086,-0.791,红色,沿用历史颜色,,,
11,3,4.881,-0.696,-0.666,大黄锥,本帧颜色确认,0.693,大黄锥,0.916
11,4,14.101,-3.227,-0.693,红色,本帧颜色确认,0.517,红色,0.441
11,5,14.299,0.176,-0.679,小黄锥,本帧颜色确认,0.453,大黄锥,0.500
11,6,4.595,2.188,-0.483,大黄锥,本帧颜色确认,0.719,大黄锥,0.916
11,7,9.157,5.233,-0.706,红色,沿用历史颜色,,,
11,8,12.033,-0.522,-0.765,红色,本帧颜色确认,0.565,红色,0.441
11,9,15.408,-7.071,-0.840,红色,本帧颜色确认,0.667,红色,0.369
11,10,11.502,3.388,-0.616,未知,雷达框未匹配,,,
11,11,16.286,0.360,-0.674,小黄锥,沿用历史颜色,,,
