帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
356,1,7.648,-1.036,-0.791,红色,本帧颜色确认,0.417,红色,0.808
356,2,9.875,-4.170,-0.715,红色,本帧颜色确认,0.442,红色,0.768
356,3,10.868,-8.352,-0.776,红色,本帧颜色确认,0.396,红色,0.193
356,4,7.178,-5.491,-0.789,蓝色,本帧颜色确认,0.395,蓝色,0.722
356,5,10.611,-6.224,-0.857,红色,沿用历史颜色,,,
356,6,12.790,-7.310,-0.759,红色,本帧颜色确认,0.206,红色,0.233
356,7,14.377,-5.681,-0.820,红色,沿用历史颜色,,,
356,8,5.558,-3.233,-0.839,蓝色,沿用历史颜色,,,
356,9,7.866,-8.171,-0.814,蓝色,本帧颜色确认,0.304,蓝色,0.672
356,10,4.005,-1.810,-0.842,蓝色,沿用历史颜色,,,
356,11,15.812,-4.302,-0.714,红色,本帧颜色确认,0.261,红色,0.158
