帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
990,1,8.504,1.533,-0.780,蓝色,本帧颜色确认,0.395,蓝色,0.722
990,2,7.835,-4.921,-0.793,蓝色,本帧颜色确认,0.457,蓝色,0.672
990,3,10.035,-1.098,-0.783,红色,本帧颜色确认,0.506,红色,0.617
990,4,12.593,-6.035,-0.796,小黄锥,沿用历史颜色,,,
990,5,10.644,3.063,-0.779,蓝色,本帧颜色确认,0.471,蓝色,0.328
990,6,10.900,-5.374,-0.782,蓝色,沿用历史颜色,,,
990,7,11.789,-3.239,-0.801,小黄锥,沿用历史颜色,,,
990,8,5.016,-5.822,-0.765,红色,本帧颜色确认,0.440,红色,0.842
990,9,12.784,1.035,-0.821,红色,本帧颜色确认,0.297,红色,0.560
990,10,13.458,-3.931,-0.866,小黄锥,沿用历史颜色,,,
