帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
22,1,12.346,-1.488,-0.208,未知,雷达框未匹配,,,
22,2,7.303,-4.221,-0.772,蓝色,本帧颜色确认,0.347,蓝色,0.808
22,3,6.065,6.065,-0.757,红色,本帧颜色确认,0.443,红色,0.842
22,4,12.263,1.494,-0.214,大黄锥,沿用历史颜色,,,
22,5,9.632,-2.249,-0.656,蓝色,本帧颜色确认,0.234,蓝色,0.672
22,6,9.785,2.176,-0.785,红色,沿用历史颜色,,,
22,7,7.420,3.903,-0.767,红色,本帧颜色确认,0.277,红色,0.768
22,8,5.978,-6.509,-0.798,蓝色,本帧颜色确认,0.342,蓝色,0.808
22,9,3.188,-5.553,-0.795,未知,雷达框未匹配,,,
22,10,13.800,-1.419,-0.198,未知,雷达框未匹配,,,
22,11,13.794,1.453,-0.362,大黄锥,本帧颜色确认,0.553,大黄锥,0.560
