帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
689,1,4.971,0.208,-0.671,大黄锥,本帧颜色确认,0.617,大黄锥,0.916
689,2,11.587,-7.277,-0.774,小黄锥,本帧颜色确认,0.318,大黄锥,0.104
689,3,9.888,-0.675,-0.812,红色,本帧颜色确认,0.568,红色,0.672
689,4,11.547,-3.418,-0.811,蓝色,沿用历史颜色,,,
689,5,6.744,-6.923,-0.831,蓝色,本帧颜色确认,0.300,蓝色,0.672
689,6,13.302,-2.703,-0.820,蓝色,本帧颜色确认,0.290,蓝色,0.104
689,7,9.810,-6.621,-0.808,红色,本帧颜色确认,0.343,红色,0.617
689,8,13.117,-4.937,-0.833,未知,雷达框未匹配,,,
689,9,9.956,-8.287,-0.776,红色,本帧颜色确认,0.270,红色,0.500
689,10,3.018,-1.891,-0.482,大黄锥,本帧颜色确认,0.533,大黄锥,0.933
689,11,13.217,0.690,-0.827,红色,本帧颜色确认,0.500,红色,0.104
689,12,7.029,-0.569,-0.854,红色,本帧颜色确认,0.505,红色,0.722
689,13,14.990,-1.725,-0.829,蓝色,本帧颜色确认,0.236,蓝色,0.278
689,14,14.140,-5.556,-0.797,小黄锥,本帧颜色确认,0.786,大黄锥,0.129
689,15,5.356,-3.976,-0.874,蓝色,本帧颜色确认,0.410,蓝色,0.768
689,16,6.888,-9.775,-0.826,未知,雷达框未匹配,,,
