帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
76,1,7.880,-2.697,-0.761,红色,本帧颜色确认,0.328,红色,0.722
76,2,5.811,6.908,-0.772,蓝色,沿用历史颜色,,,
76,3,9.759,-6.400,-0.769,红色,本帧颜色确认,0.203,红色,0.768
76,4,7.863,3.543,-0.799,小黄锥,本帧匹配成功,0.218,小黄锥,0.394
76,5,5.304,5.003,-0.814,蓝色,沿用历史颜色,,,
76,6,8.770,0.893,-0.820,未知,雷达框未匹配,,,
76,7,6.739,3.281,-0.840,小黄锥,沿用历史颜色,,,
76,8,6.782,-1.327,-0.847,红色,沿用历史颜色,,,
76,9,7.218,0.563,-0.825,未知,雷达框未匹配,,,
76,10,5.618,-4.512,-0.814,蓝色,本帧颜色确认,0.297,蓝色,0.842
76,11,6.736,-7.177,-0.810,蓝色,本帧颜色确认,0.294,蓝色,0.722
