帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
393,1,9.878,-4.169,-0.719,红色,本帧颜色确认,0.429,红色,0.768
393,2,7.650,-1.034,-0.764,红色,本帧颜色确认,0.486,红色,0.808
393,3,10.869,-8.351,-0.774,红色,本帧颜色确认,0.396,红色,0.193
393,4,10.611,-6.221,-0.855,红色,沿用历史颜色,,,
393,5,12.792,-7.309,-0.756,红色,本帧颜色确认,0.206,红色,0.233
393,6,7.180,-5.492,-0.790,蓝色,本帧颜色确认,0.408,蓝色,0.722
393,7,14.377,-5.681,-0.838,红色,沿用历史颜色,,,
393,8,5.558,-3.236,-0.840,蓝色,沿用历史颜色,,,
393,9,7.868,-8.150,-0.809,蓝色,本帧颜色确认,0.263,蓝色,0.672
393,10,4.005,-1.809,-0.846,蓝色,沿用历史颜色,,,
