帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
694,1,11.378,-6.179,-0.795,小黄锥,沿用历史颜色,,,
694,2,10.941,-2.293,-0.752,蓝色,沿用历史颜色,,,
694,3,9.041,0.276,-0.811,红色,本帧颜色确认,0.363,红色,0.672
694,4,9.515,-5.643,-0.766,红色,本帧颜色确认,0.271,红色,0.672
694,5,12.657,-3.663,-0.769,未知,雷达框未匹配,,,
694,6,12.609,-1.412,-0.769,蓝色,本帧颜色确认,0.179,蓝色,0.193
694,7,14.223,-0.290,-0.787,蓝色,本帧颜色确认,0.107,蓝色,0.233
694,8,12.203,1.941,-0.775,红色,沿用历史颜色,,,
694,9,4.105,0.698,-0.605,大黄锥,本帧颜色确认,0.640,大黄锥,0.871
694,10,6.512,-6.257,-0.790,蓝色,本帧颜色确认,0.298,蓝色,0.722
694,11,9.856,-7.300,-0.746,红色,本帧颜色确认,0.069,红色,0.500
694,12,13.750,-4.176,-0.797,小黄锥,沿用历史颜色,,,
694,13,9.883,-9.097,-0.755,红色,本帧颜色确认,0.112,红色,0.672
694,14,3.654,0.879,-0.585,大黄锥,本帧颜色确认,0.748,大黄锥,0.909
694,15,16.840,3.560,-0.793,未知,雷达框未匹配,,,
694,16,6.182,0.105,-0.846,红色,本帧颜色确认,0.401,红色,0.768
694,17,4.842,-3.483,-0.843,蓝色,沿用历史颜色,,,
