帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
1,1,6.780,3.092,-0.770,未知,雷达框未匹配,,,
1,2,14.089,-3.210,-0.704,红色,本帧匹配成功,0.509,红色,0.441
1,3,9.927,-2.553,-0.749,蓝色,本帧匹配成功,0.625,蓝色,0.383
1,4,9.157,5.233,-0.725,未知,雷达框未匹配,,,
1,5,14.321,0.160,-0.689,小黄锥,本帧匹配成功,0.317,大黄锥,0.383
1,6,4.526,2.201,-0.479,大黄锥,本帧匹配成功,0.862,大黄锥,0.916
1,7,4.897,-0.703,-0.662,大黄锥,本帧匹配成功,0.714,大黄锥,0.916
1,8,12.044,-0.540,-0.693,红色,本帧匹配成功,0.656,红色,0.383
1,9,15.406,-7.067,-0.789,红色,本帧匹配成功,0.833,红色,0.369
1,10,11.505,3.384,-0.684,未知,雷达框未匹配,,,
1,11,11.576,-4.582,-0.785,蓝色,本帧匹配成功,0.717,蓝色,0.383
1,12,10.290,7.606,-0.303,红色,本帧匹配成功,0.220,红色,0.233
