帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
75,1,6.863,2.727,-0.806,蓝色,沿用历史颜色,,,
75,2,9.513,-0.594,-0.746,小黄锥,沿用历史颜色,,,
75,3,9.162,-3.940,-0.772,红色,本帧颜色确认,0.419,红色,0.722
75,4,6.588,-5.185,-0.788,蓝色,本帧颜色确认,0.439,蓝色,0.768
75,5,14.100,-1.984,-0.846,未知,雷达框未匹配,,,
75,6,8.668,5.961,-0.795,蓝色,沿用历史颜色,,,
75,7,10.274,-7.822,-0.737,红色,本帧匹配成功,0.409,红色,0.560
75,8,9.464,2.777,-0.780,小黄锥,沿用历史颜色,,,
75,9,11.364,3.023,-0.721,未知,雷达框未匹配,,,
75,10,11.463,-0.510,-0.731,未知,雷达框未匹配,,,
75,11,7.227,-1.136,-0.800,红色,本帧颜色确认,0.493,红色,0.768
75,12,5.889,6.978,-0.818,红色,本帧颜色确认,0.323,红色,0.441
75,13,7.391,-8.024,-0.746,蓝色,本帧匹配成功,0.406,蓝色,0.722
75,14,4.624,4.632,-0.818,红色,本帧颜色确认,0.510,红色,0.842
