帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
24,1,12.344,-1.491,-0.235,未知,雷达框未匹配,,,
24,2,7.299,-4.215,-0.786,蓝色,本帧颜色确认,0.304,蓝色,0.808
24,3,12.264,1.497,-0.170,大黄锥,沿用历史颜色,,,
24,4,6.050,6.054,-0.762,红色,本帧颜色确认,0.396,红色,0.842
24,5,9.796,2.188,-0.795,红色,沿用历史颜色,,,
24,6,7.420,3.904,-0.777,红色,本帧颜色确认,0.269,红色,0.768
24,7,13.800,1.431,-0.228,大黄锥,沿用历史颜色,,,
24,8,9.640,-2.263,-0.682,蓝色,本帧颜色确认,0.366,蓝色,0.672
24,9,3.198,-5.546,-0.783,未知,雷达框未匹配,,,
24,10,5.984,-6.516,-0.786,蓝色,本帧颜色确认,0.347,蓝色,0.808
24,11,13.825,-1.405,-0.218,未知,雷达框未匹配,,,
