帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
66,1,11.120,-0.931,-0.762,红色,本帧颜色确认,0.335,红色,0.392
66,2,13.042,-3.782,-0.784,红色,本帧颜色确认,0.282,红色,0.617
66,3,10.870,2.951,-0.802,蓝色,本帧颜色确认,0.333,蓝色,0.233
66,4,13.469,-0.401,-0.806,小黄锥,本帧匹配成功,0.353,大黄锥,0.328
66,5,10.446,-4.983,-0.781,蓝色,本帧匹配成功,0.382,蓝色,0.278
66,6,4.009,-0.771,-0.607,大黄锥,本帧颜色确认,0.640,大黄锥,0.933
66,7,15.445,-0.341,-0.795,未知,雷达框未匹配,,,
66,8,8.618,5.002,-0.835,红色,本帧颜色确认,0.175,红色,0.617
66,9,3.875,2.180,-0.695,大黄锥,本帧颜色确认,0.615,大黄锥,0.871
66,10,8.927,-2.868,-0.810,蓝色,本帧颜色确认,0.338,蓝色,0.560
66,11,14.130,-7.699,-0.781,红色,本帧匹配成功,0.310,红色,0.233
66,12,15.387,3.171,-0.864,小黄锥,本帧匹配成功,0.562,大黄锥,0.193
66,13,12.735,6.195,-0.831,蓝色,沿用历史颜色,,,
66,14,6.092,2.945,-0.874,红色,本帧颜色确认,0.364,红色,0.808
66,15,9.903,7.242,-0.781,红色,本帧匹配成功,0.260,红色,0.500
66,16,13.472,2.989,-0.837,未知,雷达框未匹配,,,
