帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
174,1,8.314,-3.446,-0.793,蓝色,沿用历史颜色,,,
174,2,9.975,-5.706,-0.749,蓝色,本帧颜色确认,0.239,蓝色,0.672
174,3,12.591,-4.348,-0.700,红色,本帧颜色确认,0.263,红色,0.193
174,4,10.682,-1.480,-0.732,红色,本帧颜色确认,0.455,红色,0.560
174,5,11.733,-2.773,-0.734,红色,本帧颜色确认,0.316,红色,0.328
174,6,12.271,5.484,-0.756,蓝色,沿用历史颜色,,,
174,7,10.297,2.132,-0.788,蓝色,沿用历史颜色,,,
174,8,7.422,3.517,-0.770,红色,本帧颜色确认,0.549,红色,0.722
174,9,9.911,9.789,-0.794,红色,沿用历史颜色,,,
174,10,9.448,6.495,-0.721,红色,本帧颜色确认,0.451,红色,0.722
174,11,11.394,3.707,-0.780,蓝色,沿用历史颜色,,,
174,12,12.508,1.781,-0.813,小黄锥,沿用历史颜色,,,
174,13,12.516,-1.023,-0.825,未知,雷达框未匹配,,,
174,14,10.698,-8.585,-0.785,蓝色,沿用历史颜色,,,
174,15,12.762,10.063,-0.752,未知,雷达框未匹配,,,
174,16,14.122,-0.982,-0.819,未知,雷达框未匹配,,,
174,17,13.801,-8.327,-0.716,红色,本帧颜色确认,0.216,红色,0.278
174,18,5.493,-1.775,-0.816,蓝色,本帧颜色确认,0.571,蓝色,0.808
174,19,13.647,1.806,-0.791,小黄锥,沿用历史颜色,,,
