帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
97,1,6.197,3.719,-0.805,红色,本帧颜色确认,0.475,红色,0.842
97,2,6.174,-4.007,-0.783,蓝色,本帧颜色确认,0.451,蓝色,0.808
97,3,8.426,-2.201,-0.795,蓝色,本帧颜色确认,0.462,蓝色,0.808
97,4,11.423,-1.254,-0.350,大黄锥,沿用历史颜色,,,
97,5,11.485,1.592,-0.204,未知,雷达框未匹配,,,
97,6,4.826,-6.397,-0.795,未知,雷达框未匹配,,,
97,7,4.729,5.676,-0.789,红色,本帧颜色确认,0.541,红色,0.808
97,8,8.782,2.089,-0.840,红色,沿用历史颜色,,,
97,9,4.140,1.899,-0.810,蓝色,本帧颜色确认,0.611,蓝色,0.871
97,10,14.596,-1.775,-0.885,小黄锥,沿用历史颜色,,,
97,11,2.735,3.106,-0.788,蓝色,本帧颜色确认,0.709,蓝色,0.916
97,12,11.871,-1.169,-0.652,小黄锥,沿用历史颜色,,,
