帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
35,1,12.331,-1.485,-0.306,大黄锥,本帧匹配成功,0.502,大黄锥,0.617
35,2,7.293,-4.219,-0.777,蓝色,本帧颜色确认,0.400,蓝色,0.808
35,3,9.796,2.189,-0.803,红色,沿用历史颜色,,,
35,4,13.814,-1.403,-0.250,未知,雷达框未匹配,,,
35,5,9.629,-2.275,-0.757,蓝色,本帧颜色确认,0.385,蓝色,0.672
35,6,12.260,1.497,-0.228,未知,雷达框未匹配,,,
35,7,6.052,6.063,-0.771,红色,本帧颜色确认,0.346,红色,0.842
35,8,5.983,-6.517,-0.788,蓝色,本帧颜色确认,0.395,蓝色,0.842
35,9,7.419,3.898,-0.740,红色,本帧颜色确认,0.328,红色,0.768
35,10,13.794,1.434,-0.230,未知,雷达框未匹配,,,
35,11,3.176,-5.541,-0.801,未知,雷达框未匹配,,,
