帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
263,1,6.106,-4.618,-0.620,大黄锥,本帧颜色确认,0.539,大黄锥,0.916
263,2,8.522,-3.153,-0.502,大黄锥,本帧颜色确认,0.511,大黄锥,0.871
263,3,6.906,-6.872,-0.828,红色,本帧颜色确认,0.203,红色,0.768
263,4,8.547,5.870,-0.796,蓝色,沿用历史颜色,,,
263,5,10.733,-4.902,-0.780,蓝色,本帧颜色确认,0.092,蓝色,0.500
263,6,7.948,-2.201,-0.615,大黄锥,本帧匹配成功,0.423,大黄锥,0.916
263,7,7.219,3.302,-0.834,蓝色,沿用历史颜色,,,
263,8,4.948,5.787,-0.781,红色,沿用历史颜色,,,
263,9,7.171,0.018,-0.822,蓝色,沿用历史颜色,,,
263,10,5.473,-3.566,-0.682,大黄锥,本帧颜色确认,0.464,大黄锥,0.933
